Category Name,Category Name URL,Category Groups,CB Rank
Data Visualization,https://www.crunchbase.com/category/data-visualization,"Data and Analytics, Design, Information Technology, Software",
Messaging,https://www.crunchbase.com/category/messaging-8c62,"Information Technology, Internet Services, Messaging and Telecommunications",
Angel Investment,https://www.crunchbase.com/category/angel-investment,"Financial Services, Lending and Investments",
Clinical Trials,https://www.crunchbase.com/category/clinical-trials,Health Care,
Recipes,https://www.crunchbase.com/category/recipes,Food and Beverage,
CivicTech,https://www.crunchbase.com/category/civictech,"Government and Military, Information Technology",
Local,https://www.crunchbase.com/category/local-8ebe,,
Underserved Children,https://www.crunchbase.com/category/underserved-children,,
Biometrics,https://www.crunchbase.com/category/biometrics,"Biotechnology, Data and Analytics, Science and Engineering",
Business Information Systems,https://www.crunchbase.com/category/business-information-systems,Information Technology,
Financial Services,https://www.crunchbase.com/category/financial-services,Financial Services,
Medical,https://www.crunchbase.com/category/medical,Health Care,
Event Management,https://www.crunchbase.com/category/event-management,"Events, Media and Entertainment",
Shipping Broker,https://www.crunchbase.com/category/shipping-broker,Transportation,
Tea,https://www.crunchbase.com/category/tea,Food and Beverage,
Residential,https://www.crunchbase.com/category/residential,,
Building Material,https://www.crunchbase.com/category/building-material,Real Estate,
Human Resources,https://www.crunchbase.com/category/human-resources,,
In-Flight Entertainment,https://www.crunchbase.com/category/in-flight-entertainment,Media and Entertainment,
Industrial Engineering,https://www.crunchbase.com/category/industrial-engineering,"Manufacturing, Science and Engineering",
Retail Technology,https://www.crunchbase.com/category/retail-technology,"Commerce and Shopping, Hardware, Software",
E-Signature,https://www.crunchbase.com/category/e-signature,"Information Technology, Privacy and Security",
Courier Service,https://www.crunchbase.com/category/courier-service,"Administrative Services, Transportation",
Transportation,https://www.crunchbase.com/category/transportation,Transportation,
Baby,https://www.crunchbase.com/category/baby,,
Wedding,https://www.crunchbase.com/category/wedding,"Community and Lifestyle, Events",
Interior Design,https://www.crunchbase.com/category/interior-design,"Design, Real Estate",
Vocational Education,https://www.crunchbase.com/category/vocational-education,Education,
Food Processing,https://www.crunchbase.com/category/food-processing,Food and Beverage,
Ediscovery,https://www.crunchbase.com/category/ediscovery,Internet Services,
Natural Resources,https://www.crunchbase.com/category/natural-resources,"Natural Resources, Sustainability",
Social Media Management,https://www.crunchbase.com/category/social-media-management,"Internet Services, Sales and Marketing",
Law Enforcement,https://www.crunchbase.com/category/law-enforcement,"Government and Military, Privacy and Security",
Content Creators,https://www.crunchbase.com/category/content-creators,Media and Entertainment,
Personal Health,https://www.crunchbase.com/category/personal-health,Health Care,
Risk Management,https://www.crunchbase.com/category/risk-management,,
CleanTech,https://www.crunchbase.com/category/cleantech,Sustainability,
Analytics,https://www.crunchbase.com/category/analytics,Data and Analytics,
Incubators,https://www.crunchbase.com/category/incubators,"Financial Services, Lending and Investments",
Browser Extensions,https://www.crunchbase.com/category/browser-extensions,Software,
Electronic Health Record (EHR),https://www.crunchbase.com/category/electronic-health-record-ehr,Health Care,
Handmade,https://www.crunchbase.com/category/handmade-9af4,,
Life Science,https://www.crunchbase.com/category/life-science,"Biotechnology, Science and Engineering",
Direct Marketing,https://www.crunchbase.com/category/direct-marketing,Sales and Marketing,
Digital Marketing,https://www.crunchbase.com/category/digital-marketing-9bff,Sales and Marketing,
Data Mining,https://www.crunchbase.com/category/data-mining,"Data and Analytics, Information Technology",
Forestry,https://www.crunchbase.com/category/forestry-9c5d,Agriculture and Farming,
Enterprise Resource Planning (ERP),https://www.crunchbase.com/category/enterprise-resource-planning-erp,Software,
Wealth Management,https://www.crunchbase.com/category/wealth-management,Financial Services,
Fuel Cell,https://www.crunchbase.com/category/fuel-cell,Energy,
Lifestyle,https://www.crunchbase.com/category/lifestyle,Community and Lifestyle,
Direct Sales,https://www.crunchbase.com/category/direct-sales,Sales and Marketing,
Aquaculture,https://www.crunchbase.com/category/aquaculture,Agriculture and Farming,
Windows Phone,https://www.crunchbase.com/category/windows-phone-9f50,"Consumer Electronics, Hardware, Mobile, Platforms",
Livestock,https://www.crunchbase.com/category/livestock,Agriculture and Farming,
Wireless,https://www.crunchbase.com/category/wireless,"Hardware, Mobile",
App Discovery,https://www.crunchbase.com/category/app-discovery,"Apps, Sales and Marketing, Software",
Infrastructure,https://www.crunchbase.com/category/infrastructure,,
Sports,https://www.crunchbase.com/category/sports,Sports,
Product Design,https://www.crunchbase.com/category/product-design,Design,
Ultimate Frisbee,https://www.crunchbase.com/category/ultimate-frisbee,Sports,
Private Social Networking,https://www.crunchbase.com/category/private-social-networking,Community and Lifestyle,
Simulation,https://www.crunchbase.com/category/simulation,Software,
Small and Medium Businesses,https://www.crunchbase.com/category/small-and-medium-businesses,,
Music Venues,https://www.crunchbase.com/category/music-venues,Media and Entertainment,
Cycling,https://www.crunchbase.com/category/cycling,Sports,
Real Estate,https://www.crunchbase.com/category/real-estate,Real Estate,
Assisted Living,https://www.crunchbase.com/category/assisted-living,Health Care,
mHealth,https://www.crunchbase.com/category/mhealth,"Health Care, Mobile",
PaaS,https://www.crunchbase.com/category/paas,Software,
Intellectual Property,https://www.crunchbase.com/category/intellectual-property,Professional Services,
Hunting,https://www.crunchbase.com/category/hunting-a46c,Sports,
National Security,https://www.crunchbase.com/category/national-security,Government and Military,
Commercial Lending,https://www.crunchbase.com/category/commercial-lending,"Financial Services, Lending and Investments",
MMO Games,https://www.crunchbase.com/category/mmo-games-a4ef,Gaming,
Dietary Supplements,https://www.crunchbase.com/category/dietary-supplements,"Food and Beverage, Health Care",
Software Engineering,https://www.crunchbase.com/category/software-engineering,"Science and Engineering, Software",
Communication Hardware,https://www.crunchbase.com/category/communication-hardware,Hardware,
A/B Testing,https://www.crunchbase.com/category/ab-testing,Data and Analytics,
Casino,https://www.crunchbase.com/category/casino,Travel and Tourism,
Computer Vision,https://www.crunchbase.com/category/computer-vision,"Hardware, Software",
Logistics,https://www.crunchbase.com/category/logistics,Transportation,
Consumer Lending,https://www.crunchbase.com/category/consumer-lending,"Financial Services, Lending and Investments",
Local Advertising,https://www.crunchbase.com/category/local-advertising,"Advertising, Sales and Marketing",
Concerts,https://www.crunchbase.com/category/concerts,"Events, Media and Entertainment",
Water Purification,https://www.crunchbase.com/category/water-purification,Sustainability,
Twitter,https://www.crunchbase.com/category/twitter-aa86,Platforms,
Geospatial,https://www.crunchbase.com/category/geospatial-aac4,"Data and Analytics, Navigation and Mapping",
Soccer,https://www.crunchbase.com/category/soccer,Sports,
Sailing,https://www.crunchbase.com/category/sailing,Sports,
Shopping Mall,https://www.crunchbase.com/category/shopping-mall,Commerce and Shopping,
Bioinformatics,https://www.crunchbase.com/category/bioinformatics,"Biotechnology, Data and Analytics, Science and Engineering",
Freight Service,https://www.crunchbase.com/category/freight-service,Transportation,
Semantic Web,https://www.crunchbase.com/category/semantic-web,Internet Services,
Darknet,https://www.crunchbase.com/category/darknet,Internet Services,
Facility Management,https://www.crunchbase.com/category/facility-management,Real Estate,
Web Browsers,https://www.crunchbase.com/category/web-browsers,"Internet Services, Software",
Accounting,https://www.crunchbase.com/category/accounting,"Financial Services, Professional Services",
Visual Search,https://www.crunchbase.com/category/visual-search,Internet Services,
Ad Server,https://www.crunchbase.com/category/ad-server,Advertising,
Cloud Management,https://www.crunchbase.com/category/cloud-management,"Information Technology, Internet Services, Software",
Finance,https://www.crunchbase.com/category/finance,Financial Services,
3D Printing,https://www.crunchbase.com/category/3d-printing,Manufacturing,
Resorts,https://www.crunchbase.com/category/resorts,Travel and Tourism,
Apps,https://www.crunchbase.com/category/apps,"Apps, Software",
Cosmetic Surgery,https://www.crunchbase.com/category/cosmetic-surgery,Health Care,
Gamification,https://www.crunchbase.com/category/gamification-af92,Gaming,
Image Recognition,https://www.crunchbase.com/category/image-recognition,"Data and Analytics, Software",
Sporting Goods,https://www.crunchbase.com/category/sporting-goods,"Commerce and Shopping, Sports",
Business Travel,https://www.crunchbase.com/category/business-travel,Travel and Tourism,
Parks,https://www.crunchbase.com/category/parks,Travel and Tourism,
Legal,https://www.crunchbase.com/category/legal,Professional Services,
Video Streaming,https://www.crunchbase.com/category/video-streaming,"Content and Publishing, Media and Entertainment, Video",
Cause Marketing,https://www.crunchbase.com/category/cause-marketing,Sales and Marketing,
Virtual Goods,https://www.crunchbase.com/category/virtual-goods,"Commerce and Shopping, Software",
Data Storage,https://www.crunchbase.com/category/data-storage,"Hardware, Software",
Flowers,https://www.crunchbase.com/category/flowers,Consumer Goods,
Web Apps,https://www.crunchbase.com/category/web-apps,"Apps, Software",
Venture Capital,https://www.crunchbase.com/category/venture-capital-b37d,"Financial Services, Lending and Investments",
Commercial,https://www.crunchbase.com/category/commercial,,
GPS,https://www.crunchbase.com/category/gps,"Hardware, Navigation and Mapping",
Baseball,https://www.crunchbase.com/category/baseball,Sports,
Cloud Storage,https://www.crunchbase.com/category/cloud-storage,Internet Services,
Outdoor Advertising,https://www.crunchbase.com/category/outdoor-advertising,"Advertising, Sales and Marketing",
Social Recruiting,https://www.crunchbase.com/category/social-recruiting-b53b,Professional Services,
Last Mile Transportation,https://www.crunchbase.com/category/b561fa84-cb20-4a82-a6bc-fea613d74cdd,Transportation,
Vertical Search,https://www.crunchbase.com/category/vertical-search,Internet Services,
Space Travel,https://www.crunchbase.com/category/space-travel-b590,Transportation,
Confectionery,https://www.crunchbase.com/category/confectionery,Food and Beverage,
Children,https://www.crunchbase.com/category/children,,
Retail,https://www.crunchbase.com/category/retail,Commerce and Shopping,
Virtual Workforce,https://www.crunchbase.com/category/virtual-workforce,Administrative Services,
Wind Energy,https://www.crunchbase.com/category/wind-energy,"Energy, Natural Resources, Sustainability",
Insurance,https://www.crunchbase.com/category/insurance,Financial Services,
Dating,https://www.crunchbase.com/category/dating,Community and Lifestyle,
IT Management,https://www.crunchbase.com/category/it-management,Information Technology,
Social Assistance,https://www.crunchbase.com/category/social-assistance,Government and Military,
Location Based Services,https://www.crunchbase.com/category/location-based-services,"Data and Analytics, Internet Services, Navigation and Mapping",
IaaS,https://www.crunchbase.com/category/iaas,Software,
Consulting,https://www.crunchbase.com/category/consulting,,
GovTech,https://www.crunchbase.com/category/govtech-b9c9,"Government and Military, Information Technology",
Content Delivery Network,https://www.crunchbase.com/category/content-delivery-network,Content and Publishing,
Hydroponics,https://www.crunchbase.com/category/hydroponics,Agriculture and Farming,
Coffee,https://www.crunchbase.com/category/coffee-bad7,Food and Beverage,
Semantic Search,https://www.crunchbase.com/category/semantic-search,Internet Services,
Automotive,https://www.crunchbase.com/category/automotive,Transportation,
Debit Cards,https://www.crunchbase.com/category/debit-cards,"Financial Services, Payments",
Sponsorship,https://www.crunchbase.com/category/sponsorship,Sales and Marketing,
Communities,https://www.crunchbase.com/category/communities,Community and Lifestyle,
Elderly,https://www.crunchbase.com/category/elderly,,
Recreation,https://www.crunchbase.com/category/recreation,Sports,
Wholesale,https://www.crunchbase.com/category/wholesale,Commerce and Shopping,
Cryptocurrency,https://www.crunchbase.com/category/cryptocurrency,"Financial Services, Payments, Software",
Professional Networking,https://www.crunchbase.com/category/professional-networking,"Community and Lifestyle, Professional Services",
Organic,https://www.crunchbase.com/category/organic-be0f,Sustainability,
Health Insurance,https://www.crunchbase.com/category/health-insurance,Financial Services,
Marketing Automation,https://www.crunchbase.com/category/marketing-automation,"Sales and Marketing, Software",
Digital Signage,https://www.crunchbase.com/category/digital-signage,Sales and Marketing,
Janitorial Service,https://www.crunchbase.com/category/janitorial-service,Real Estate,
Hardware,https://www.crunchbase.com/category/hardware,Hardware,
Social Impact,https://www.crunchbase.com/category/social-impact-bf5c,,
Video Chat,https://www.crunchbase.com/category/video-chat,"Information Technology, Internet Services, Messaging and Telecommunications",
Hedge Funds,https://www.crunchbase.com/category/hedge-funds,"Financial Services, Lending and Investments",
Facilities Support Services,https://www.crunchbase.com/category/facilities-support-services,Administrative Services,
Software,https://www.crunchbase.com/category/software,Software,
Optical Communication,https://www.crunchbase.com/category/optical-communication,Hardware,
Laundry and Dry-cleaning,https://www.crunchbase.com/category/laundry-and-dry-cleaning,Clothing and Apparel,
Self-Storage,https://www.crunchbase.com/category/self-storage,Real Estate,
Developer Platform,https://www.crunchbase.com/category/developer-platform,Software,
Knowledge Management,https://www.crunchbase.com/category/knowledge-management,,
Hotel,https://www.crunchbase.com/category/hotel,Travel and Tourism,
Physical Security,https://www.crunchbase.com/category/physical-security,"Administrative Services, Privacy and Security",
E-Commerce Platforms,https://www.crunchbase.com/category/e-commerce-platforms,"Commerce and Shopping, Internet Services",
Film,https://www.crunchbase.com/category/film-c333,"Media and Entertainment, Video",
Big Data,https://www.crunchbase.com/category/big-data,Data and Analytics,
Solar,https://www.crunchbase.com/category/solar-c3d5,"Energy, Natural Resources, Sustainability",
Corporate Training,https://www.crunchbase.com/category/corporate-training,Education,
Wellness,https://www.crunchbase.com/category/wellness,Health Care,
Career Planning,https://www.crunchbase.com/category/career-planning,Professional Services,
Volley Ball,https://www.crunchbase.com/category/volley-ball,Sports,
Artificial Intelligence,https://www.crunchbase.com/category/artificial-intelligence,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",
Housekeeping Service,https://www.crunchbase.com/category/housekeeping-service,Administrative Services,
Field Support,https://www.crunchbase.com/category/field-support,,
Database,https://www.crunchbase.com/category/database,"Data and Analytics, Software",
Video,https://www.crunchbase.com/category/video,"Media and Entertainment, Video",
Lingerie,https://www.crunchbase.com/category/lingerie,"Clothing and Apparel, Consumer Goods",
Journalism,https://www.crunchbase.com/category/journalism,"Content and Publishing, Media and Entertainment",
Smart Building,https://www.crunchbase.com/category/smart-building,Real Estate,
Property Management,https://www.crunchbase.com/category/property-management,Real Estate,
Building Maintenance,https://www.crunchbase.com/category/building-maintenance,Real Estate,
Virtual Desktop,https://www.crunchbase.com/category/virtual-desktop,Software,
Advice,https://www.crunchbase.com/category/advice,Media and Entertainment,
Home Decor,https://www.crunchbase.com/category/home-decor-c954,Real Estate,
Local Shopping,https://www.crunchbase.com/category/local-shopping,Commerce and Shopping,
Predictive Analytics,https://www.crunchbase.com/category/predictive-analytics-ca83,"Artificial Intelligence, Data and Analytics, Software",
Wine And Spirits,https://www.crunchbase.com/category/wine-and-spirits,Food and Beverage,
Animal Feed,https://www.crunchbase.com/category/animal-feed,Agriculture and Farming,
Charity,https://www.crunchbase.com/category/charity,,
Tour Operator,https://www.crunchbase.com/category/tour-operator,Travel and Tourism,
Machinery Manufacturing,https://www.crunchbase.com/category/machinery-manufacturing,Manufacturing,
Fast-Moving Consumer Goods,https://www.crunchbase.com/category/fast-moving-consumer-goods,"Consumer Goods, Real Estate",
Smart Cities,https://www.crunchbase.com/category/ce11fd97-65a0-4f8c-b385-2ca48f444479,Real Estate,
Playstation,https://www.crunchbase.com/category/playstation,"Consumer Electronics, Hardware, Platforms",
Personal Development,https://www.crunchbase.com/category/personal-development,Education,
Laser,https://www.crunchbase.com/category/laser,"Hardware, Science and Engineering",
Government,https://www.crunchbase.com/category/government,Government and Military,
Cloud Data Services,https://www.crunchbase.com/category/cloud-data-services,"Information Technology, Internet Services",
Warehousing,https://www.crunchbase.com/category/warehousing,Transportation,
Fashion,https://www.crunchbase.com/category/fashion,"Clothing and Apparel, Design",
Musical Instruments,https://www.crunchbase.com/category/musical-instruments,"Media and Entertainment, Music and Audio",
Plastics and Rubber Manufacturing,https://www.crunchbase.com/category/plastics-and-rubber-manufacturing,Manufacturing,
Extermination Service,https://www.crunchbase.com/category/extermination-service,Administrative Services,
Civil Engineering,https://www.crunchbase.com/category/civil-engineering,Science and Engineering,
Nanotechnology,https://www.crunchbase.com/category/nanotechnology,Science and Engineering,
Brand Marketing,https://www.crunchbase.com/category/brand-marketing,Sales and Marketing,
Scheduling,https://www.crunchbase.com/category/scheduling,"Information Technology, Software",
Mapping Services,https://www.crunchbase.com/category/mapping-services,Navigation and Mapping,
Enterprise Software,https://www.crunchbase.com/category/enterprise-software,Software,
LGBT,https://www.crunchbase.com/category/lgbt,,
Public Relations,https://www.crunchbase.com/category/public-relations,Sales and Marketing,
Navigation,https://www.crunchbase.com/category/navigation,Navigation and Mapping,
Events,https://www.crunchbase.com/category/events,"Events, Media and Entertainment",
Music Education,https://www.crunchbase.com/category/music-education,"Education, Media and Entertainment, Music and Audio",
Same Day Delivery,https://www.crunchbase.com/category/same-day-delivery,Transportation,
Cannabis,https://www.crunchbase.com/category/cannabis,"Community and Lifestyle, Food and Beverage, Health Care",
Museums and Historical Sites,https://www.crunchbase.com/category/museums-and-historical-sites,Travel and Tourism,
B2B,https://www.crunchbase.com/category/b2b,,
Air Transportation,https://www.crunchbase.com/category/air-transportation,Transportation,
Universities,https://www.crunchbase.com/category/universities,,
Asset Management,https://www.crunchbase.com/category/asset-management,Financial Services,
Music,https://www.crunchbase.com/category/music,"Media and Entertainment, Music and Audio",
Linux,https://www.crunchbase.com/category/linux,"Platforms, Software",
Hockey,https://www.crunchbase.com/category/hockey,Sports,
Online Portals,https://www.crunchbase.com/category/online-portals,Internet Services,
Operating Systems,https://www.crunchbase.com/category/operating-systems,"Platforms, Software",
Bakery,https://www.crunchbase.com/category/bakery,Food and Beverage,
Dental,https://www.crunchbase.com/category/dental,Health Care,
Compliance,https://www.crunchbase.com/category/compliance-da6d,Professional Services,
Windows,https://www.crunchbase.com/category/windows,Platforms,
Video Games,https://www.crunchbase.com/category/video-games,Gaming,
Google Glass,https://www.crunchbase.com/category/google-glass,"Consumer Electronics, Hardware, Mobile, Platforms",
Outpatient Care,https://www.crunchbase.com/category/outpatient-care,Health Care,
News,https://www.crunchbase.com/category/news,"Content and Publishing, Media and Entertainment",
Project Management,https://www.crunchbase.com/category/project-management-db17,,
Cloud Security,https://www.crunchbase.com/category/cloud-security-db34,"Information Technology, Privacy and Security",
Information Technology,https://www.crunchbase.com/category/information-technology-dbca,Information Technology,
Eyewear,https://www.crunchbase.com/category/eyewear-dc77,Consumer Goods,
Group Buying,https://www.crunchbase.com/category/group-buying,Commerce and Shopping,
Professional Services,https://www.crunchbase.com/category/professional-services,,
Architecture,https://www.crunchbase.com/category/architecture,Real Estate,
Gaming,https://www.crunchbase.com/category/gaming,Gaming,
Billing,https://www.crunchbase.com/category/billing,"Payments, Software",
Internet Radio,https://www.crunchbase.com/category/internet-radio,"Media and Entertainment, Music and Audio",
Affiliate Marketing,https://www.crunchbase.com/category/affiliate-marketing,"Advertising, Sales and Marketing",
Language Learning,https://www.crunchbase.com/category/language-learning,Education,
Web Design,https://www.crunchbase.com/category/web-design,Design,
Usability Testing,https://www.crunchbase.com/category/usability-testing,"Data and Analytics, Design",
Video Conferencing,https://www.crunchbase.com/category/video-conferencing,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",
Home and Garden,https://www.crunchbase.com/category/home-and-garden,Real Estate,
Social CRM,https://www.crunchbase.com/category/social-crm,"Information Technology, Sales and Marketing, Software",
Gift Exchange,https://www.crunchbase.com/category/gift-exchange,Commerce and Shopping,
Retirement,https://www.crunchbase.com/category/retirement,,
Religion,https://www.crunchbase.com/category/religion,Community and Lifestyle,
FinTech,https://www.crunchbase.com/category/fintech-e067,Financial Services,
Franchise,https://www.crunchbase.com/category/franchise,,
Video Advertising,https://www.crunchbase.com/category/video-advertising,"Advertising, Sales and Marketing",
Telecommunications,https://www.crunchbase.com/category/telecommunications,Hardware,
Electronics,https://www.crunchbase.com/category/electronics,"Consumer Electronics, Hardware",
Adult,https://www.crunchbase.com/category/adult,,
Privacy,https://www.crunchbase.com/category/privacy-e1a4,Privacy and Security,
Young Adults,https://www.crunchbase.com/category/young-adults,,
Information and Communications Technology (ICT),https://www.crunchbase.com/category/information-communications-technology-ict,Information Technology,
Farming,https://www.crunchbase.com/category/farming,Agriculture and Farming,
Industrial Design,https://www.crunchbase.com/category/industrial-design,"Design, Hardware",
InsurTech,https://www.crunchbase.com/category/insurtech,Financial Services,
Graphic Design,https://www.crunchbase.com/category/graphic-design-e362,Design,
Neuroscience,https://www.crunchbase.com/category/neuroscience-e37a,"Biotechnology, Science and Engineering",
Sustainability,https://www.crunchbase.com/category/sustainability-e391,Sustainability,
Roku,https://www.crunchbase.com/category/roku-e3bb,"Consumer Electronics, Hardware, Platforms",
Golf,https://www.crunchbase.com/category/golf,Sports,
Construction,https://www.crunchbase.com/category/construction,Real Estate,
Independent Music,https://www.crunchbase.com/category/independent-music,"Media and Entertainment, Music and Audio",
Catering,https://www.crunchbase.com/category/catering,Food and Beverage,
Renewable Energy,https://www.crunchbase.com/category/renewable-energy,"Energy, Sustainability",
Video on Demand,https://www.crunchbase.com/category/video-on-demand-e544,"Media and Entertainment, Video",
Training,https://www.crunchbase.com/category/training,Education,
Cooking,https://www.crunchbase.com/category/cooking,Food and Beverage,
Social News,https://www.crunchbase.com/category/social-news,Media and Entertainment,
Biofuel,https://www.crunchbase.com/category/biofuel,"Energy, Natural Resources, Sustainability",
Energy Efficiency,https://www.crunchbase.com/category/energy-efficiency,"Energy, Sustainability",
Sharing Economy,https://www.crunchbase.com/category/sharing-economy,,
Clean Energy,https://www.crunchbase.com/category/clean-energy,"Energy, Sustainability",
Text Analytics,https://www.crunchbase.com/category/text-analytics,"Data and Analytics, Software",
Hospitality,https://www.crunchbase.com/category/hospitality,Travel and Tourism,
Manufacturing,https://www.crunchbase.com/category/manufacturing,Manufacturing,
Tutoring,https://www.crunchbase.com/category/tutoring,Education,
E-Learning,https://www.crunchbase.com/category/e-learning,"Education, Software",
Mobile,https://www.crunchbase.com/category/mobile,Mobile,
Pollution Control,https://www.crunchbase.com/category/pollution-control,Sustainability,
Lighting,https://www.crunchbase.com/category/lighting,Hardware,
Intrusion Detection,https://www.crunchbase.com/category/intrusion-detection,"Information Technology, Privacy and Security",
Social Media Advertising,https://www.crunchbase.com/category/social-media-advertising,"Advertising, Sales and Marketing",
Test and Measurement,https://www.crunchbase.com/category/test-and-measurement,Data and Analytics,
Waste Management,https://www.crunchbase.com/category/waste-management-ea5b,Sustainability,
Biomass Energy,https://www.crunchbase.com/category/biomass-energy,"Energy, Natural Resources, Sustainability",
Virtualization,https://www.crunchbase.com/category/virtualization,"Hardware, Information Technology, Software",
Open Source,https://www.crunchbase.com/category/open-source,Software,
Packaging Services,https://www.crunchbase.com/category/packaging-services,Administrative Services,
Grocery,https://www.crunchbase.com/category/grocery,Food and Beverage,
Data Center Automation,https://www.crunchbase.com/category/data-center-automation,"Hardware, Information Technology, Software",
Nintendo,https://www.crunchbase.com/category/nintendo-ed2c,"Consumer Electronics, Hardware, Platforms",
Internet of Things,https://www.crunchbase.com/category/internet-of-things-ed3a,Internet Services,
Innovation Management,https://www.crunchbase.com/category/innovation-management,,
Virtual Currency,https://www.crunchbase.com/category/virtual-currency,"Financial Services, Payments, Software",
Primary Education,https://www.crunchbase.com/category/primary-education,Education,
Public Safety,https://www.crunchbase.com/category/public-safety,Government and Military,
Power Grid,https://www.crunchbase.com/category/power-grid,Energy,
Social Bookmarking,https://www.crunchbase.com/category/social-bookmarking,,
Generation Z,https://www.crunchbase.com/category/generation-z,,
Industrial,https://www.crunchbase.com/category/industrial,,
Veterinary,https://www.crunchbase.com/category/veterinary,Health Care,
Product Search,https://www.crunchbase.com/category/product-search,Internet Services,
Textiles,https://www.crunchbase.com/category/textiles,Manufacturing,
DRM,https://www.crunchbase.com/category/drm,"Content and Publishing, Media and Entertainment, Privacy and Security",
Product Research,https://www.crunchbase.com/category/product-research,"Data and Analytics, Design",
Communications Infrastructure,https://www.crunchbase.com/category/communications-infrastructure,Hardware,
Boating,https://www.crunchbase.com/category/boating,Sports,
Coupons,https://www.crunchbase.com/category/coupons,Commerce and Shopping,
Green Consumer Goods,https://www.crunchbase.com/category/green-consumer-goods,"Consumer Goods, Sustainability",
Continuing Education,https://www.crunchbase.com/category/continuing-education,Education,
Field-Programmable Gate Array (FPGA),https://www.crunchbase.com/category/field-programmable-gate-array-fpga,Hardware,
Motion Capture,https://www.crunchbase.com/category/motion-capture,"Media and Entertainment, Video",
Virtual Reality,https://www.crunchbase.com/category/virtual-reality,"Hardware, Software",
Leisure,https://www.crunchbase.com/category/leisure,Community and Lifestyle,
Content Syndication,https://www.crunchbase.com/category/content-syndication,"Content and Publishing, Media and Entertainment",
Productivity Tools,https://www.crunchbase.com/category/productivity-tools,Software,
Cricket,https://www.crunchbase.com/category/cricket,Sports,
Information Services,https://www.crunchbase.com/category/information-services-f579,Information Technology,
Payments,https://www.crunchbase.com/category/payments,"Financial Services, Payments",
Child Care,https://www.crunchbase.com/category/child-care,Health Care,
Battery,https://www.crunchbase.com/category/battery,Energy,
Gift Registry,https://www.crunchbase.com/category/gift-registry,Commerce and Shopping,
Email Marketing,https://www.crunchbase.com/category/email-marketing,Sales and Marketing,
Freemium,https://www.crunchbase.com/category/freemium,,
Mechanical Engineering,https://www.crunchbase.com/category/mechanical-engineering,Science and Engineering,
Photo Editing,https://www.crunchbase.com/category/photo-editing,"Content and Publishing, Media and Entertainment",
Technical Support,https://www.crunchbase.com/category/technical-support,,
Homeless Shelter,https://www.crunchbase.com/category/homeless-shelter,,
Industrial Automation,https://www.crunchbase.com/category/industrial-automation,"Manufacturing, Science and Engineering",
Tizen,https://www.crunchbase.com/category/tizen-f9f2,Platforms,
AgTech,https://www.crunchbase.com/category/agtech,Agriculture and Farming,
Human Computer Interaction,https://www.crunchbase.com/category/human-computer-interaction,"Design, Science and Engineering",
Customer Service,https://www.crunchbase.com/category/customer-service,,
Alternative Medicine,https://www.crunchbase.com/category/alternative-medicine,Health Care,
Home Health Care,https://www.crunchbase.com/category/home-health-care,Health Care,
Landscaping,https://www.crunchbase.com/category/landscaping,Real Estate,
Lead Generation,https://www.crunchbase.com/category/lead-generation,Sales and Marketing,
